"Record Key","Chainage Start (m)","Chainage End (m)","Length (m)","Pipeline Section","Register","Asset Type","Asset ID","Trench Type","Source Length (m)","Drawing (Start)","Drawing (End)","Drawing (superseded)","Info Source","Included in Current Plan","Section Ref (source)","Feature Name","Utility Description","Surface","Pipeline DN","Embankment Treatment","Creek Bed Treatment","Pipe Description","Type 6 (m)","Type 7 (m)","Type 4 & 7 (m)","Type 4 & 6 (m)","Operator","Location","Material","Size (mm)","ID","Actual Chainage (surveyed)","Located","C&G Code","Trench Code","Surveyors PtNo","E","N","Z","Survey Code","Proven to Underside of Service","Test Point","Proposed Crossing Method","Parallel or Crossed","Design Drawing","DBYD SEQ","Separation (m)","Asset DOC (m)","Pipeline DOC (m)","Depth to Underside of Asset (m)","Crossover","Within","Excavation Permit Required?","Excavation Permit Date","Crossing Permit Required?","Crossing Permit Date","Comments","Source File","Source Row","Area (m2)","Timber Density","Thrust Block Category","Installed","Install Date","Installed By","Test Document No","Test Status","Test Date","Complete","Completion Date","Progress Notes","Unit Rate ($)","Quantity","Unit","Total Cost ($)","Fitting Type","Type of Bend","Fitting Material","Fitting DN (mm)","Max Test Pressure (kPa)","Allowable Lateral Bearing (kPa)","Thrust Block Item","Design Source","Valve Type","Crossing Type","Crew","Bend Rate Class","Completion Driver","Front Chainage (m)","Auto Complete","Auto Complete As At","Unlabelled Column CO","Valve Arrangement Type","Valve Assembly Group","Valve Arrangement","Branch / Tee Size","Air Valve","Scour Valve","Side","Invert Level (m)","Depth of Invert (m)","Natural Surface (m)","Orifice Plate Bore (mm)","Within 1% AEP Flood Zone","Claim Item No (PC02)","Location Drawing Ref"
"PHW-AV-001","156.337","","","PHW","Valve","AV","PHW-AV-001","","","D-DWG-PHW-001.2","","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Valve arrangement per IFC valve schedule. Rate line: Rate Library Table 6.","PHW_PWG_Valve_BOM_C.xlsx","Valve Register!A5","","","","","","","","","","","","48300","1","each","48300","","","","","","","","","1A","","","","PIPE","0","NO","","","AV TYPE 1A","AV Pit Type 1A & 1B (Buried)","Inline","DN600x300","Yes","No","N/A","662.488","2.246","664.734","N/A","N","PHW-6420.01",""
"PHW-TS-0001","188","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0001","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","6","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.13","","","","","","","","","","","","","",""
"PHW-TS-0002","197.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0002","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","7","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.113","","","","","","","","","","","","","",""
"PHW-TS-0003","206.8","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0003","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","8","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.09","","","","","","","","","","","","","",""
"PHW-TS-0004","216.2","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0004","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","9","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.122","","","","","","","","","","","","","",""
"PHW-PIPE-0003","225.345","236.345","11","PHW","Pipe","PIPE","PHW-PIPE-0003","","","D-DWG-PHW-001.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Driveway crossings","Special Crossings","","","","","","0.091","","","","","","","","","","","","","",""
"PHW-TS-0005","225.6","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0005","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","10","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.106","","","","","","","","","","","","","",""
"PHW-TS-0006","235","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0006","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","11","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.099","","","","","","","","","","","","","",""
"PHW-PIPE-0004","236.345","321.539","85.19399999999999","PHW","Pipe","PIPE","PHW-PIPE-0004","","","D-DWG-PHW-001.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Special Crossings","","","","","","","","","","","","","","","","","","","",""
"PHW-TS-0007","244.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0007","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","12","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.094","","","","","","","","","","","","","",""
"PHW-VG-0003","250","270","20","PHW","Vegetation","TREE REMOVAL","VEG_PHW003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1 LARGE TREE","T2W - Tree Removal TakeOff (V.1).xlsx","20","110","HEAVY","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","0.139","","","","","","","","","","","","","",""
"PHW-TS-0008","253.8","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0008","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","13","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0009","259","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0009","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","14","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0010","266.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0010","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","15","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0011","274","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0011","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","16","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0012","281.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0012","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","17","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.142","","","","","","","","","","","","","",""
"PHW-TS-0013","289","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0013","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","18","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.139","","","","","","","","","","","","","",""
"PHW-TS-0014","296.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0014","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","19","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.149","","","","","","","","","","","","","",""
"PHW-TS-0015","304","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0015","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","20","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.14","","","","","","","","","","","","","",""
"PHW-TS-0016","311.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0016","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","21","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.104","","","","","","","","","","","","","",""
"PHW-TS-0017","319","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0017","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","22","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.092","","","","","","","","","","","","","",""
"PHW-PIPE-0005","321.539","327.039","5.5","PHW","Pipe","PIPE","PHW-PIPE-0005","","","D-DWG-PHW-001.2","","","","","PHW","","","","660","","","OD660 MSCL 6WT SINTALOCK TYPE 2 PN35","","","","","","","MSCL","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trenchless entry","Special Crossings","","","","","","0.15","","","","","","","","","","","","","",""
"PHW-TS-0018","326.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0018","","","D-DWG-PHW-001","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","23","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","0.136","","","","","","","","","","","","","",""
"PHW-PT-0001","327.039","404.867","77.82800000000003","PHW","Road & Rail Crossing","SIGNIFICANT PROTECTED TREES","PHW-PT-0001","","77.828","","","","","","PHW","Trees - Kieman Road","","N/A","600","","","OD660x6WT MSCL Sintalock Type 2 PN35 Carrier & OD813x12WT MS Enveloper","","","","","TRC","","","","","","","","","","","","","","","","Thrust Boring","","","","","","","","","","","","","","","T2WRWP-05304-PTW-PPG-SCH-00002_PHW_PWG.xlsx","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","0.117","","","","","","","","","","","","","",""
"PHW-TT-0002","327.039","404.862","77.82300000000004","PHW","Trench Type","TRENCH SECTION","","8A","77.823","D-DWG-PHW-001.2","D-DWG-PHW-001.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14","","","","","","","","","","","","","",""
"PHW-PIPE-0006","327.039","404.862","77.82300000000004","PHW","Pipe","PIPE","PHW-PIPE-0006","","","D-DWG-PHW-001.2","","","","","PHW","","","","660","","","OD660 MSCL 6WT SINTALOCK TYPE 2 PN35 + OD813 12WT MS Enveloper","","","","","","","MSCL","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trenchless Crossing","Trenchless","","","","","","0.119","","","","","","","","","","","","","",""
"PHW-VG-0004","330","370","40","PHW","Vegetation","TREE REMOVAL","VEG_PHW004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 LARGE TREES","T2W - Tree Removal TakeOff (V.1).xlsx","21","486","HEAVY","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-CM-0003","361","","","PHW","Foreign Service","COMMUNICATIONS","PHW-CM-0003","","","D-DWG-PHW-001.2","","D-DWG-PHW-001_C","BYDA","Yes","PHW","","BYDA TELSTRA COMMSTUD","","","","","","","","","","Telstra","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-EL-0001","364","","","PHW","Foreign Service","ELECTRICITY","PHW-EL-0001","","","D-DWG-PHW-001.2","","","PUP","Yes","PHW","","PUP ELECTRICITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Forreign service raw data.xlsx","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-VG-0005","380","410","30","PHW","Vegetation","TREE REMOVAL","VEG_PHW005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2 LARGE TREES","T2W - Tree Removal TakeOff (V.1).xlsx","22","145","HEAVY","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TT-0003","404.862","426.39","21.527999999999963","PHW","Trench Type","TRENCH SECTION","","4","21.528","D-DWG-PHW-001.2","D-DWG-PHW-001.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0007","404.862","426.39","21.527999999999963","PHW","Pipe","PIPE","PHW-PIPE-0007","","","D-DWG-PHW-001.2","","","","","PHW","","","","660","","","OD660 MSCL 6WT SINTALOCK TYPE 2 PN35","","","","","","","MSCL","660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Special Crossings","","","","","","","","","","","","","","","","","","","",""
"PHW-TT-0004","426.39","878.592","452.202","PHW","Trench Type","TRENCH SECTION","","1A","452.202","D-DWG-PHW-001.2","D-DWG-PHW-002.2","","","","PHW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench Type Register - T2W_PIPELINE.xlsm","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHW-PIPE-0008","426.39","654.13","227.74","PHW","Pipe","PIPE","PHW-PIPE-0008","","","D-DWG-PHW-001.2","","","","","PHW","","","","600","","","DN600 DICL PN35","","","","","","","DICL","600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Supply and Installation of Pipe","Special Crossings","","","","","","0.11","","","","","","","","","","","","","",""
"PHW-TS-0019","448","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0019","","","D-DWG-PHW-001","","","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","24","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-VG-0006","450","460","10","PHW","Vegetation","TREE REMOVAL","VEG_PHW006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BRANCHES HANGING OVER PIPE","T2W - Tree Removal TakeOff (V.1).xlsx","23","18.7","TRIM","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0020","463","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0020","","","D-DWG-PHW-001","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","25","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0021","471.4","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0021","","","D-DWG-PHW-001","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","26","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0022","479.8","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0022","","","D-DWG-PHW-001","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","27","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0023","486.1","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0023","","","D-DWG-PHW-001","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","28","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0001","492.5","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0001","","","D-DWG-PHW-001","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","29","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0024","498.9","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0024","","","D-DWG-PHW-001","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","30","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0025","505.3","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0025","","","D-DWG-PHW-001","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","31","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-VG-0007","510","530","20","PHW","Vegetation","TREE REMOVAL","VEG_PHW007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3 SMALL TREES","T2W - Tree Removal TakeOff (V.1).xlsx","24","85.9","TRIM","","","","","","","","","","","","","","","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0026","511.7","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0026","","","D-DWG-PHW-001","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","32","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-BS-0002","518.1","","","PHW","Trench Stop & Bulkhead","BULK HEAD","PHW-BS-0002","","","D-DWG-PHW-001","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","33","","","","","","","","","","","","","20507","1","each","20507","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
"PHW-TS-0027","524.5","","","PHW","Trench Stop & Bulkhead","TRENCH STOP","PHW-TS-0027","","","D-DWG-PHW-001","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trench&Bulkheads- T2W_PIPELINE.xlsm","34","","","","","","","","","","","","","1112.5","1","each","1112.5","","","","","","","","","","","","","TRENCH","0","NO","","","","","","","","","","","","","","","",""
